reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
91b69c65-62d6-4c0e-8872-52423b682008,Slynn Byrd,https://play-lh.googleusercontent.com/a/ACg8ocI4lH0kU4g5VIqqMDwyEAHscotRWrhfHDFSsYo7B3ApkzzVhQ=mo,Great.,5,0,5.368.0,2024-05-10 23:06:38,We appreciate your kind words. 🙌,2024-05-11 06:49:20,5.368.0
f2956ba4-b25b-44f0-a6a2-6e6c0c817e6a,Cody Santos,https://play-lh.googleusercontent.com/a-/ALV-UjXjhTdMvuy7uxD4nPzn13uc4aaGK5-3dn50zJpyS5V-VvluDf4G,Worst dating app out here. Tinder is better. Bumble has an awful layout the app is annoying to navigate. Overall shifty stuff on bumble. Do yourself a favor and download tinder or use facebook dating lol this app is junk,1,5,5.368.0,2024-05-10 22:56:59,We're sorry you didn't enjoy your experience on Bumble. Our team would love the opportunity to improve your experience in the Hive! Please message our Support Team on Twitter or Facebook (@BumbleSupport) and we'd be happy to help.,2024-05-11 06:49:19,5.368.0
511cd2a0-e383-4df3-aeca-c9bd8a89e31f,Nic S.,https://play-lh.googleusercontent.com/a-/ALV-UjXhn9z16k4xSImYZdA-x6kXXQqO_JWnCh0WPGgZ3xyXFl_E1hnw9Q,They charged my card several times. They will not respond to emails or refund me. Just stick with Tinder or Hinge.,1,1,5.305.1,2024-05-10 22:52:14,We’re so sorry to hear this happened and would like our Billing team to have a look. Please send us a message at http://bumble.com/contact or on Facebook or Twitter (@BumbleSupport). We look forward to hearing from you!,2024-05-11 06:44:49,5.305.1
a360fcd4-cb8d-4924-9db7-a3a8fc63283a,Vishvjeet Cheema,https://play-lh.googleusercontent.com/a-/ALV-UjVKgWHMiNRb17GJ-LLxFeYVJLPdGWiq9DBxW9pqwZdquOkPjUkH,Useless garbage,1,5,,2024-05-10 22:23:15,We're sorry you didn't enjoy your experience on Bumble. Our team would love the opportunity to improve your experience in the Hive! Please message our Support Team on Twitter or Facebook (@BumbleSupport) and we'd be happy to help.,2024-05-11 06:44:20,
3490f0d1-1632-4121-ad43-08bef37d1dc5,Zangdaarr Mortpartout,https://play-lh.googleusercontent.com/a-/ALV-UjX73_xuW3i1O7loIbMeSVmQg2iRqcTJNh_PUPxoKJQI-SnQ7o8,"I deleted my account almost a year ago, I wanted to re-create one only to found out that I am banned (and it was really hard to understand as the app does not state it clearly) They won't provide a reason for that, there is none. I had zero complaints and if I had I would have been banned before I delete my account. edit: wad actually never banned. their support sucks and will lie rather than actually investigate answer to the team: this is blablant lie.",1,1,5.355.0,2024-05-10 22:16:44,"We want to take a look at this. Please message us at @BumbleSupport on Twitter or Facebook. Or, you can contact us via bumble.com/contact.",2024-05-11 06:44:19,5.355.0
de2564bc-4ce8-49bb-be10-da68ba6198a1,Daniel Wong,https://play-lh.googleusercontent.com/a-/ALV-UjVtSTa-31jMp8KKL1kOLvYQ9ot_qJq1UGGm2NgNZJ0A6xM-p_uoKA,"Decreasing my rating to 2. It appears with the rebrand, men now can message first, and new monetization models Bumble is hoping to increase their falling shareholder value similar to Match Group. These new monetization models are a roll of the dice, and doesn't necessarily help people who are already struggling on app to find someone. The app is going down hill and I recommend finding an alternative that isn't touched by Wall Street.",2,6,5.368.0,2024-05-10 22:09:06,"This definitely doesn't sound right, and we're sorry to read about it. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can take a look.",2024-05-11 06:41:48,5.368.0
abdfde23-8e4a-47c5-a699-c6cea22930f0,farhad mirzahoseini,https://play-lh.googleusercontent.com/a/ACg8ocLlXMI8PqJJ5mbUby9hsLyESNsUE0fIuIolhP9AnHFjTe_6pw=mo,After a long time no one messaged me back!,1,1,,2024-05-10 21:52:28,"Sorry to hear you're having trouble connecting with your matches. Try sending a personalized, creative message or ask a question about something on their profile—that's sure to get the conversation started! You got this. 💛",2024-05-11 06:40:48,
f5524467-096c-4104-b9b5-c397641a8204,Pratik Dungule,https://play-lh.googleusercontent.com/a/ACg8ocI2rrBUFZKVrPJeW4fl-PEkgRO4B_bunfnItMalj7WalMdeKA=mo,Not opning in the morning its. Very trouble,1,0,,2024-05-10 21:32:15,"Thanks for letting us know, Pratik! We're reporting this to our team to fix. To help us out, please message us at @BumbleSupport on social media with a few more details—screenshots will help too. Or, you can contact us via bumble.com/contact",2024-05-10 22:27:19,
60495954-4250-47a2-bd3f-c13d9a35fc96,Carlos Emilio,https://play-lh.googleusercontent.com/a-/ALV-UjXc3noFgxI8SP6hT8pzrK0AsHU7E5ZLOTPHkt8olnC2lPfb_jxR,cool,5,1,5.368.0,2024-05-10 20:54:08,"We appreciate your kind words, Carlos. 🙌",2024-05-10 22:27:20,5.368.0
60d117cb-f2e6-40aa-ad03-8ed73ef4eb16,Irina K.,https://play-lh.googleusercontent.com/a-/ALV-UjU0rU7UQ6d_541PczYpAXPGjUkbzKz2BAYXQOw8w6BkrbaHp06w,"app is pretty good, but it would be a good idea to require mandatory profile verification, as there are a lot of scammers out there.",5,0,5.368.0,2024-05-10 20:49:29,"We're so sorry about your experience with us. We absolutely do not tolerate fake profiles on Bumble and would like to look into this. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can look into this.",2024-05-11 06:40:19,5.368.0
